"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0019814","CC","GO:0019814","immunoglobulin complex",79,0.797520614785987,3.85580644767711,0.000107422924051993,0.0173111246981515,0.015066012538433,385,"tags=87%, list=15%, signal=77%","ENSG00000211670/ENSG00000211648/ENSG00000211897/ENSG00000211895/ENSG00000211653/ENSG00000211937/ENSG00000211966/ENSG00000244575/ENSG00000211890/ENSG00000211941/ENSG00000211592/ENSG00000132465/ENSG00000211660/ENSG00000211892/ENSG00000211651/ENSG00000211662/ENSG00000240382/ENSG00000211951/ENSG00000243466/ENSG00000211943/ENSG00000211896/ENSG00000239951/ENSG00000223350/ENSG00000282639/ENSG00000211640/ENSG00000244437/ENSG00000211659/ENSG00000241755/ENSG00000211637/ENSG00000211663/ENSG00000211945/ENSG00000211955/ENSG00000211949/ENSG00000280411/ENSG00000211965/ENSG00000211947/ENSG00000211677/ENSG00000211972/ENSG00000211679/ENSG00000211625/ENSG00000224650/ENSG00000211956/ENSG00000270550/ENSG00000211649/ENSG00000211669/ENSG00000240864/ENSG00000211666/ENSG00000211933/ENSG00000211668/ENSG00000225698/ENSG00000211935/ENSG00000211598/ENSG00000211950/ENSG00000211655/ENSG00000211650/ENSG00000243290/ENSG00000211938/ENSG00000211658/ENSG00000239855/ENSG00000232216/ENSG00000211964/ENSG00000243264/ENSG00000211899/ENSG00000211967/ENSG00000211976/ENSG00000211952/ENSG00000251546/ENSG00000211685/ENSG00000211970"
"GO:0003823","MF","GO:0003823","antigen binding",64,0.80650280661719,3.75474389436852,0.000109625082218812,0.0173111246981515,0.015066012538433,385,"tags=88%, list=15%, signal=77%","ENSG00000211648/ENSG00000211897/ENSG00000211895/ENSG00000211653/ENSG00000211937/ENSG00000211966/ENSG00000211890/ENSG00000211941/ENSG00000211592/ENSG00000132465/ENSG00000211660/ENSG00000211892/ENSG00000211651/ENSG00000211662/ENSG00000240382/ENSG00000211951/ENSG00000243466/ENSG00000211943/ENSG00000211896/ENSG00000239951/ENSG00000282639/ENSG00000211640/ENSG00000244437/ENSG00000211659/ENSG00000211663/ENSG00000211945/ENSG00000211955/ENSG00000211949/ENSG00000280411/ENSG00000211965/ENSG00000211947/ENSG00000211677/ENSG00000211972/ENSG00000211679/ENSG00000224650/ENSG00000211956/ENSG00000270550/ENSG00000240864/ENSG00000211666/ENSG00000211933/ENSG00000211668/ENSG00000225698/ENSG00000211935/ENSG00000211598/ENSG00000211950/ENSG00000211938/ENSG00000211658/ENSG00000232216/ENSG00000211964/ENSG00000211899/ENSG00000211967/ENSG00000211976/ENSG00000211952/ENSG00000251546/ENSG00000211685/ENSG00000211970"
"GO:0002250","BP","GO:0002250","adaptive immune response",121,0.657675693727222,3.3825415188664,0.00010371292263016,0.0173111246981515,0.015066012538433,523,"tags=70%, list=20%, signal=59%","ENSG00000211670/ENSG00000211648/ENSG00000211897/ENSG00000211895/ENSG00000211653/ENSG00000211937/ENSG00000211966/ENSG00000244575/ENSG00000211890/ENSG00000211941/ENSG00000211592/ENSG00000132465/ENSG00000211660/ENSG00000211892/ENSG00000211651/ENSG00000211662/ENSG00000240382/ENSG00000211951/ENSG00000243466/ENSG00000211943/ENSG00000211896/ENSG00000239951/ENSG00000223350/ENSG00000282639/ENSG00000211640/ENSG00000244437/ENSG00000211659/ENSG00000241755/ENSG00000211637/ENSG00000211663/ENSG00000211945/ENSG00000211955/ENSG00000211949/ENSG00000280411/ENSG00000211965/ENSG00000211947/ENSG00000211677/ENSG00000211972/ENSG00000211679/ENSG00000211625/ENSG00000224650/ENSG00000211956/ENSG00000184995/ENSG00000270550/ENSG00000211649/ENSG00000211669/ENSG00000240864/ENSG00000211666/ENSG00000211933/ENSG00000211668/ENSG00000225698/ENSG00000211935/ENSG00000211598/ENSG00000211950/ENSG00000211655/ENSG00000211650/ENSG00000121807/ENSG00000243290/ENSG00000211938/ENSG00000211658/ENSG00000239855/ENSG00000120217/ENSG00000166527/ENSG00000129654/ENSG00000232216/ENSG00000211964/ENSG00000243264/ENSG00000211899/ENSG00000211967/ENSG00000156234/ENSG00000211976/ENSG00000211952/ENSG00000251546/ENSG00000211685/ENSG00000115604/ENSG00000172116/ENSG00000211970/ENSG00000123838/ENSG00000211611/ENSG00000211789/ENSG00000115594/ENSG00000211632/ENSG00000211638/ENSG00000224041/ENSG00000211664"
"GO:0016064","BP","GO:0016064","immunoglobulin mediated immune response",51,0.733397931356089,3.26439678180037,0.000112233445566779,0.0173111246981515,0.015066012538433,404,"tags=76%, list=15%, signal=66%","ENSG00000211897/ENSG00000211895/ENSG00000211937/ENSG00000211966/ENSG00000211890/ENSG00000211941/ENSG00000211592/ENSG00000211892/ENSG00000211951/ENSG00000211943/ENSG00000211896/ENSG00000282639/ENSG00000211945/ENSG00000211955/ENSG00000211949/ENSG00000280411/ENSG00000211965/ENSG00000211947/ENSG00000211677/ENSG00000211972/ENSG00000211679/ENSG00000224650/ENSG00000211956/ENSG00000270550/ENSG00000211933/ENSG00000225698/ENSG00000211935/ENSG00000211950/ENSG00000211938/ENSG00000129654/ENSG00000232216/ENSG00000211964/ENSG00000211899/ENSG00000211967/ENSG00000211976/ENSG00000211952/ENSG00000211685/ENSG00000211970/ENSG00000123838"
"GO:0019724","BP","GO:0019724","B cell mediated immunity",51,0.733397931356089,3.26439678180037,0.000112233445566779,0.0173111246981515,0.015066012538433,404,"tags=76%, list=15%, signal=66%","ENSG00000211897/ENSG00000211895/ENSG00000211937/ENSG00000211966/ENSG00000211890/ENSG00000211941/ENSG00000211592/ENSG00000211892/ENSG00000211951/ENSG00000211943/ENSG00000211896/ENSG00000282639/ENSG00000211945/ENSG00000211955/ENSG00000211949/ENSG00000280411/ENSG00000211965/ENSG00000211947/ENSG00000211677/ENSG00000211972/ENSG00000211679/ENSG00000224650/ENSG00000211956/ENSG00000270550/ENSG00000211933/ENSG00000225698/ENSG00000211935/ENSG00000211950/ENSG00000211938/ENSG00000129654/ENSG00000232216/ENSG00000211964/ENSG00000211899/ENSG00000211967/ENSG00000211976/ENSG00000211952/ENSG00000211685/ENSG00000211970/ENSG00000123838"
"GO:0002377","BP","GO:0002377","immunoglobulin production",47,0.711449102159327,3.11591889840185,0.000113096584483149,0.0173111246981515,0.015066012538433,523,"tags=79%, list=20%, signal=64%","ENSG00000211670/ENSG00000211648/ENSG00000211653/ENSG00000244575/ENSG00000211660/ENSG00000211651/ENSG00000211662/ENSG00000240382/ENSG00000243466/ENSG00000239951/ENSG00000223350/ENSG00000211640/ENSG00000244437/ENSG00000211659/ENSG00000241755/ENSG00000211637/ENSG00000211663/ENSG00000170476/ENSG00000211625/ENSG00000211649/ENSG00000211669/ENSG00000240864/ENSG00000211666/ENSG00000211668/ENSG00000211598/ENSG00000211655/ENSG00000211650/ENSG00000243290/ENSG00000211658/ENSG00000239855/ENSG00000243264/ENSG00000251546/ENSG00000211611/ENSG00000211632/ENSG00000211638/ENSG00000224041/ENSG00000211664"
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity",62,0.670806605382213,3.11029701599459,0.000109661147055598,0.0173111246981515,0.015066012538433,404,"tags=66%, list=15%, signal=57%","ENSG00000211897/ENSG00000211895/ENSG00000211937/ENSG00000211966/ENSG00000211890/ENSG00000211941/ENSG00000211592/ENSG00000211892/ENSG00000211951/ENSG00000211943/ENSG00000211896/ENSG00000282639/ENSG00000211945/ENSG00000211955/ENSG00000211949/ENSG00000280411/ENSG00000211965/ENSG00000211947/ENSG00000211677/ENSG00000211972/ENSG00000211679/ENSG00000224650/ENSG00000211956/ENSG00000270550/ENSG00000211933/ENSG00000225698/ENSG00000211935/ENSG00000211950/ENSG00000121807/ENSG00000211938/ENSG00000129654/ENSG00000232216/ENSG00000211964/ENSG00000211899/ENSG00000211967/ENSG00000211976/ENSG00000211952/ENSG00000211685/ENSG00000115604/ENSG00000211970/ENSG00000123838"
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",66,0.658299734946338,3.08597665543795,0.00010901558922926,0.0173111246981515,0.015066012538433,404,"tags=65%, list=15%, signal=57%","ENSG00000211897/ENSG00000211895/ENSG00000211937/ENSG00000211966/ENSG00000211890/ENSG00000211941/ENSG00000211592/ENSG00000211892/ENSG00000211951/ENSG00000211943/ENSG00000211896/ENSG00000282639/ENSG00000211945/ENSG00000211955/ENSG00000211949/ENSG00000280411/ENSG00000211965/ENSG00000211947/ENSG00000211677/ENSG00000211972/ENSG00000211679/ENSG00000224650/ENSG00000211956/ENSG00000270550/ENSG00000211933/ENSG00000225698/ENSG00000211935/ENSG00000211950/ENSG00000121807/ENSG00000211938/ENSG00000120217/ENSG00000129654/ENSG00000232216/ENSG00000211964/ENSG00000211899/ENSG00000211967/ENSG00000156234/ENSG00000211976/ENSG00000211952/ENSG00000211685/ENSG00000115604/ENSG00000211970/ENSG00000123838"
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity",65,0.642334801546225,3.00035960292796,0.000109517029898149,0.0173111246981515,0.015066012538433,404,"tags=63%, list=15%, signal=55%","ENSG00000211897/ENSG00000211895/ENSG00000211937/ENSG00000211966/ENSG00000211890/ENSG00000211941/ENSG00000211592/ENSG00000211892/ENSG00000211951/ENSG00000211943/ENSG00000211896/ENSG00000282639/ENSG00000211945/ENSG00000211955/ENSG00000211949/ENSG00000280411/ENSG00000211965/ENSG00000211947/ENSG00000211677/ENSG00000211972/ENSG00000211679/ENSG00000224650/ENSG00000211956/ENSG00000270550/ENSG00000211933/ENSG00000225698/ENSG00000211935/ENSG00000211950/ENSG00000121807/ENSG00000211938/ENSG00000129654/ENSG00000232216/ENSG00000211964/ENSG00000211899/ENSG00000211967/ENSG00000211976/ENSG00000211952/ENSG00000211685/ENSG00000115604/ENSG00000211970/ENSG00000123838"
"GO:0072562","CC","GO:0072562","blood microparticle",30,0.742706130429938,2.94180934830468,0.000119189511323004,0.0173111246981515,0.015066012538433,302,"tags=70%, list=11%, signal=63%","ENSG00000211648/ENSG00000211897/ENSG00000211895/ENSG00000211890/ENSG00000211592/ENSG00000132465/ENSG00000211892/ENSG00000211662/ENSG00000240382/ENSG00000243466/ENSG00000211896/ENSG00000239951/ENSG00000244437/ENSG00000211659/ENSG00000211949/ENSG00000211677/ENSG00000211679/ENSG00000124491/ENSG00000211598/ENSG00000211938/ENSG00000211899"
